priority,dept,kind,published,slug,title,byline,url
"2","endocrinology","article","2023-11-13","3-ways-to-reverse-prediabetes-it-could-be-easier-than-you-think","3 ways to reverse prediabetes: It could be easier than you think","Sandra Aleksic, MD, MS","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2023/11/13/3-ways-to-reverse-prediabetes-it-could-be-easier-than-you-think/71529086007/"
"2","endocrinology","article","2023-02-07","thyroid-myths-vs-facts-everything-you-need-to-know","Thyroid myths vs. facts: Everything you need to know","Vafa Tabatabaie, MD","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2023/02/07/thyroid-myths-vs-facts-everything-you-need-to-know/69881777007/"
"1","healthy-nutrition","recipe","2026-03-09","high-protein-asian-chicken-with-zucchini-noodles","High-protein Asian chicken with zucchini noodles","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2026/03/09/high-protein-asian-chicken-with-zucchini-noodles/88982136007/"
"1","healthy-nutrition","recipe","2026-02-26","dubai-inspired-chocolate-covered-strawberries","Dubai inspired chocolate covered strawberries","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2026/02/26/dubai-inspired-chocolate-covered-strawberries/88877142007/"
"1","healthy-nutrition","recipe","2026-01-23","one-pot-chicken-and-mushroom-skillet-with-vitamin-rich-ingredients","One-pot chicken and mushroom skillet with vitamin-rich ingredients","Monica Kelly, MS, RD, CDN","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2026/01/23/one-pot-chicken-and-mushroom-skillet-with-vitamin-rich-ingredients/88318090007/"
"1","healthy-nutrition","recipe","2025-12-16","dark-chocolate-bark-for-a-delicious-boost-to-brain-wellness","Dark chocolate bark for a delicious boost to brain wellness","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2025/12/16/dark-chocolate-bark-for-a-delicious-boost-to-brain-wellness/87790924007/"
"1","healthy-nutrition","recipe","2025-11-12","a-pumpkin-oatmeal-risotto-rich-in-antioxidants-and-boost-immune-health","A Pumpkin Oatmeal Risotto rich in antioxidants and boost immune health","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2025/11/12/a-pumpkin-oatmeal-risotto-rich-in-antioxidants-and-boost-immune-health/87231242007/"
"2","healthy-nutrition","recipe","2025-10-06","cozy-fall-soup-with-pumpkin-sweet-potato-lentils-turmeric","Cozy fall soup with pumpkin, sweet potato, lentils & turmeric","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2025/10/06/cozy-fall-soup-with-pumpkin-sweet-potato-lentils-turmeric/86549722007/"
"1","healthy-nutrition","recipe","2025-08-19","heart-healthy-vegetable-and-chickpea-paella","Heart-healthy vegetable and chickpea paella","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2025/08/19/heart-healthy-vegetable-and-chickpea-paella/85725262007/"
"2","healthy-nutrition","recipe","2025-07-15","this-antioxidant-rich-bean-salad-is-the-perfect-plant-based-summer-dis","This antioxidant-rich bean salad is the perfect plant-based summer dish","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2025/07/15/this-antioxidant-rich-bean-salad-is-the-perfect-plant-based-summer-dish/85216777007/"
"1","healthy-nutrition","recipe","2025-05-01","start-your-morning-right-with-homestyle-blueberry-johnnycakes","Start your morning right with homestyle Blueberry Johnnycakes","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2025/05/01/start-your-morning-right-with-homestyle-blueberry-johnnycakes/83387802007/"
"2","healthy-nutrition","recipe","2025-04-08","youll-get-wrapped-up-in-these-heart-healthy-cabbage-wraps","You'll get wrapped up in these heart-healthy cabbage wraps","Monica Kelly, MS, RD, CDN","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2025/04/08/youll-get-wrapped-up-in-these-heart-healthy-cabbage-wraps/82989768007/"
"2","healthy-nutrition","recipe","2025-03-26","a-creamy-tikka-masala-that-will-put-a-spring-in-your-step","A creamy tikka masala that will put a spring in your step","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2025/03/26/a-creamy-tikka-masala-that-will-put-a-spring-in-your-step/82674731007/"
"2","healthy-nutrition","recipe","2024-11-04","turkey-salad-your-whole-family-will-gobble-up","Turkey salad your whole family will gobble up","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2024/11/04/turkey-salad-your-whole-family-will-gobble-up/76045391007/"
"2","healthy-nutrition","recipe","2024-08-01","packing-the-punch-in-kung-pao-chicken-tacos","Packing the punch in Kung Pao Chicken Tacos","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2024/08/01/packing-the-punch-in-kung-pao-chicken-tacos/74634846007/"
"2","healthy-nutrition","recipe","2024-05-03","treat-mom-to-mini-garden-fresh-vegetable-egg-bites","Treat Mom to mini garden fresh vegetable egg bites","Cewin Chao, MS, RD, CDN","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2024/05/03/treat-mom-to-mini-garden-fresh-vegetable-egg-bites/73526067007/"
"2","healthy-nutrition","recipe","2024-04-02","tom-kha-gai-a-warm-embrace-from-thai-cuisine","Tom Kha Gai: A warm embrace from Thai cuisine","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2024/04/02/tom-kha-gai-a-warm-embrace-from-thai-cuisine/73178064007/"
"2","healthy-nutrition","recipe","2024-03-01","an-easy-recipe-perfect-for-weeknights-chicken-breast-with-almond-sauce","An easy recipe perfect for weeknights: Chicken breast with almond sauce","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2024/03/01/an-easy-recipe-perfect-for-weeknights-chicken-breast-with-almond-sauce/72807007007/"
"2","healthy-nutrition","recipe","2024-02-01","vegan-cassoulet-rustic-elegance-with-hearty-plant-delights","Vegan Cassoulet: Rustic elegance with hearty plant delights","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2024/02/01/vegan-cassoulet-rustic-elegance-with-hearty-plant-delights/72396033007/"
"2","healthy-nutrition","recipe","2024-01-25","lentil-minestrone-soup-a-versatile-comfort-food","Lentil minestrone soup: A versatile comfort food","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2024/01/25/lentil-minestrone-soup-a-versatile-comfort-food/72097072007/"
"2","healthy-nutrition","recipe","2023-10-04","simple-healthy-and-full-of-middle-eastern-flavor-lentil-falafel-with-y","Simple, healthy, and full of Middle Eastern flavor: Lentil Falafel with yogurt sauce","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2023/10/04/simple-healthy-and-full-of-middle-eastern-flavor-lentil-falafel-with-yogurt-sauce/71058385007/"
"2","healthy-nutrition","recipe","2023-09-01","broccoli-tabbouleh-salad-a-veggie-packed-spin-on-a-mediterranean-class","Broccoli Tabbouleh Salad: A veggie-packed spin on a mediterranean classic","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2023/09/01/broccoli-tabbouleh-salad-a-veggie-packed-spin-on-a-mediterranean-classic/70727743007/"
"2","healthy-nutrition","recipe","2023-05-02","vegetable-frittata-spring-smoothie-an-easy-way-to-start-the-day","Vegetable Frittata & Spring Smoothie: An easy way to start the day!","Jessica Shapiro, MS, RD, CDN","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2023/05/02/vegetable-frittata-spring-smoothie-an-easy-way-to-start-the-day/70176429007/"
"2","healthy-nutrition","recipe","2023-01-27","healthy-new-year-8-tips-to-stick-to-your-nutrition-resolutions","Healthy New Year! 8 tips to stick to your nutrition resolutions","Jessica Shapiro, MS, RD, CDN","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2023/01/27/healthy-new-year-8-tips-to-stick-to-your-nutrition-resolutions/69845236007/"
"2","healthy-nutrition","recipe","2022-08-01","kids-summer-menu","Kids summer menu","Jessica Shapiro, MS, RD, CDN","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2022/08/01/kids-summer-menu/65383881007/"
"2","healthy-nutrition","recipe","2022-05-03","experience-mediterranean-greek-salad-sardines","Experience the Mediterranean with this Greek Salad with Sardines","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2022/05/03/experience-mediterranean-greek-salad-sardines/9634145002/"
"2","healthy-nutrition","recipe","2022-04-01","spice-up-your-diet-spinach-and-black-bean-enchiladas-dish","Spice up your diet with this spinach and black bean enchiladas dish","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2022/04/01/spice-up-your-diet-spinach-and-black-bean-enchiladas-dish/7216631001/"
"2","healthy-nutrition","recipe","2022-03-01","chayote-squash-takes-center-stage-tinola-chicken-stew","Chayote Squash takes center stage in this Tinola Chicken Stew","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2022/03/01/chayote-squash-takes-center-stage-tinola-chicken-stew/6980674001/"
"2","healthy-nutrition","recipe","2022-02-09","nutrition-filled-oats-more-than-ingredient-breakfast","Nutrition-filled oats are more than an ingredient for breakfast","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2022/02/09/nutrition-filled-oats-more-than-ingredient-breakfast/6723172001/"
"2","healthy-nutrition","recipe","2022-01-19","traditional-mexican-tacos-bursting-citrusy-zest-lean-start-2022","Traditional Mexican tacos bursting with citrusy zest for a lean start to","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2022/01/19/traditional-mexican-tacos-bursting-citrusy-zest-lean-start-2022/6580544001/"
"2","healthy-nutrition","recipe","2021-06-07","spice-up-breakfast-or-lunch-latin-twist-avocado-toast","Spice up breakfast (or lunch) with this Latin twist on avocado toast","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2021/06/07/spice-up-breakfast-or-lunch-latin-twist-avocado-toast/7588245002/"
"2","healthy-nutrition","recipe","2021-03-31","mix-up-national-nutrition-month-simple-shakshuka-recipe","Mix it up for National Nutrition Month with this simple shakshuka recipe","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2021/03/31/mix-up-national-nutrition-month-simple-shakshuka-recipe/4823769001/"
"2","healthy-nutrition","recipe","2021-02-01","delicious-lentil-soup-nutritional-powerhouse-winter","This delicious lentil soup is a nutritional powerhouse for winter","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2021/02/01/delicious-lentil-soup-nutritional-powerhouse-winter/4344165001/"
"2","healthy-nutrition","recipe","2020-09-29","wondering-what-do-whole-chicken-make-these-4-easy-healthy-recipes","Wondering what to do with a whole chicken? Make these 4 easy","Sandra Arevalo, MPH, RDN","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2020/09/29/wondering-what-do-whole-chicken-make-these-4-easy-healthy-recipes/3572027001/"
"2","healthy-nutrition","recipe","2020-06-22","these-nutritious-salads-and-drinks-liven-up-any-summer-meal","These nutritious salads and drinks will liven up any summer meal","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2020/06/22/these-nutritious-salads-and-drinks-liven-up-any-summer-meal/3236247001/"
"2","healthy-nutrition","recipe","2020-05-27","spice-up-stay-home-cooking-easy-healthy-thai-soup-recipe","Spice up stay-at-home cooking with this easy, healthy Thai soup","Jessica Shapiro, MS, RD, CDN","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2020/05/27/spice-up-stay-home-cooking-easy-healthy-thai-soup-recipe/5269192002/"
"2","healthy-nutrition","recipe","2020-03-12","warm-up-spring-vibrant-west-african-peanut-soup-recipe","Warm up to spring with this vibrant West African Peanut Soup recipe","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2020/03/12/warm-up-spring-vibrant-west-african-peanut-soup-recipe/5034737002/"
"2","healthy-nutrition","recipe","2020-01-16","hearty-minestrone-soup-loaded-fiber-protein-vitamins-and-other-nutrien","This hearty minestrone soup is loaded with fiber, protein, vitamins","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2020/01/16/hearty-minestrone-soup-loaded-fiber-protein-vitamins-and-other-nutrients/4489106002/"
"2","healthy-nutrition","recipe","2019-11-05","celebrate-hispanic-heritage-month-delicious-arroz-con-pollo-recipe","Celebrate Hispanic Heritage Month with this delicious arroz con","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2019/11/05/celebrate-hispanic-heritage-month-delicious-arroz-con-pollo-recipe/2302894001/"
"2","healthy-nutrition","recipe","2019-02-19","chicken-and-bean-soup-warm-up-heart-health-and-awareness-february","Chicken and bean soup to warm up heart health and awareness in","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2019/02/19/chicken-and-bean-soup-warm-up-heart-health-and-awareness-february/2904873002/"
"1","heart-care","article","2026-07-02","spotting-heart-disease-and-how-to-stop-it","Spotting heart disease and how to stop it","Mario J. Garcia, MD","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2026/07/02/spotting-heart-disease-and-how-to-stop-it/90781411007/"
"1","heart-care","article","2026-02-27","6-tips-for-a-stronger-healthier-heart","6 tips for a stronger, healthier heart","Robert J. Ostfeld, MD, MS","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2026/02/27/6-tips-for-a-stronger-healthier-heart/88898798007/"
"1","heart-care","journey","2026-02-11","guy-monseairs-heart-stopped-twice-he-was-back-coaching-in-just-10-days","Guy Monseair's heart stopped twice. He was back coaching in just 10 days","Robert E. Michler, MD","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2026/02/11/guy-monseairs-heart-stopped-twice-he-was-back-coaching-in-just-10-days/88623422007/"
"1","heart-care","journey","2025-10-31","back-to-beating-strong-how-phyllis-got-her-heart-and-her-life-back-on-","Back to beating strong — how Phyllis got her heart and her life back on track","Luigi Di Biase, MD, PhD","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2025/10/31/back-to-beating-strong-how-phyllis-got-her-heart-and-her-life-back-on-track/87011754007/"
"2","heart-care","article","2025-09-12","restore-a-normal-heart-rhythm-cut-stroke-risk","Restore a normal heart rhythm. Cut stroke risk.","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2025/09/12/restore-a-normal-heart-rhythm-cut-stroke-risk/86112153007/"
"2","heart-care","article","2025-06-11","how-to-spot-heart-failure-plus-the-latest-life-changing-treatments","How to spot heart failure — plus the latest life-changing treatments","Yogita Mahendra Rochlani, MD","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2025/06/11/how-to-spot-heart-failure-plus-the-latest-life-changing-treatments/84149483007/"
"2","heart-care","article","2025-05-23","your-heart-health-is-more-on-your-plate-than-you-might-think","Your heart health is more on your plate than you might think","Robert J. Ostfeld, MD, MS","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2025/05/23/your-heart-health-is-more-on-your-plate-than-you-might-think/83817391007/"
